algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width,dataset
Closest to Hull (n=10),closest_to_hull,2,768,768,20,20,0.3216059124677624,288.0,822,0.6663940105469803,1.254312515258789,0.6325878594249201,16,tic-tac-toe
Closest to Hull (n=10),closest_to_hull,3,760,760,16,16,0.3450479233226837,188.0,1582,0.6277955271565495,1.3534624576568604,0.6325878594249201,16,tic-tac-toe
Closest to Hull (n=10),closest_to_hull,4,480,480,16,16,0.2651757188498402,166.0,2062,0.6325878594249201,1.0413053035736084,0.6325878594249201,16,tic-tac-toe
Furthest from Diagonal (n=10),furthest_diagonal,1,54,54,16,16,0.3418915277724316,492.625,54,0.653104430501559,0.005516767501831,0.6325878594249201,16,tic-tac-toe
Furthest from Diagonal (n=10),furthest_diagonal,2,768,768,27,27,0.3216059124677624,315.7407407407408,822,0.6488028792486239,1.294886350631714,0.6325878594249201,16,tic-tac-toe
Furthest from Diagonal (n=10),furthest_diagonal,3,1054,1054,15,15,0.3450479233226837,241.2,1876,0.6549616998344818,1.8143761157989504,0.6325878594249201,16,tic-tac-toe
Furthest from Diagonal (n=10),furthest_diagonal,4,540,540,16,16,0.2651757188498402,166.0,2416,0.6325878594249201,1.039683818817139,0.6325878594249201,16,tic-tac-toe
Below Hull Threshold (1.0%),below_hull,1,54,54,14,14,0.3418915277724316,540.0,54,0.653104430501559,0.0038328170776367,0.6325878594249201,16,tic-tac-toe
Below Hull Threshold (1.0%),below_hull,2,672,672,10,10,0.3216059124677624,347.6,726,0.6663940105469803,1.1130132675170898,0.6325878594249201,16,tic-tac-toe
Below Hull Threshold (1.0%),below_hull,3,400,400,8,8,0.3450479233226837,216.0,1126,0.6725239616613419,0.5577950477600098,0.6325878594249201,16,tic-tac-toe
Below Hull Threshold (1.0%),below_hull,4,288,288,16,16,0.2651757188498402,166.0,1414,0.6325878594249201,0.4972736835479736,0.6325878594249201,16,tic-tac-toe
Above Diagonal Threshold (10.0%),above_diagonal,1,54,54,14,14,0.3418915277724316,540.0,54,0.653104430501559,0.0052196979522705,0.6325878594249201,16,tic-tac-toe
Above Diagonal Threshold (10.0%),above_diagonal,2,672,672,10,10,0.3216059124677624,347.6,726,0.6663940105469803,1.0672414302825928,0.6325878594249201,16,tic-tac-toe
Above Diagonal Threshold (10.0%),above_diagonal,3,400,400,8,8,0.3450479233226837,216.0,1126,0.6725239616613419,0.8255443572998047,0.6325878594249201,16,tic-tac-toe
Above Diagonal Threshold (10.0%),above_diagonal,4,288,288,16,16,0.2651757188498402,166.0,1414,0.6325878594249201,0.371713638305664,0.6325878594249201,16,tic-tac-toe
Pure ROC,pure_roc,0,1,0,1,1,0.0,683.0,0,0.5,,0.9793999019940444,9,wisconsin
Pure ROC,pure_roc,1,1,103,10,10,0.8143446794074409,288.3,103,0.9616551698141655,0.1402757167816162,0.9793999019940444,9,wisconsin
Pure ROC,pure_roc,2,10,762,10,10,0.8732142184025029,279.4,865,0.975036752233405,1.1630985736846924,0.9793999019940444,9,wisconsin
Pure ROC,pure_roc,3,10,668,9,9,0.8889799841682686,280.77777777777777,1533,0.9780381846281428,1.13175368309021,0.9793999019940444,9,wisconsin
Pure ROC,pure_roc,4,9,551,9,9,0.891232236420521,286.3333333333333,2084,0.98293848241547,0.911698579788208,0.9793999019940444,9,wisconsin
Hull Removal,hull_removal,1,103,103,37,37,0.8143446794074409,317.02702702702703,103,0.9616551698141655,0.0034646987915039,0.984045761242414,200,wisconsin
Hull Removal,hull_removal,2,2739,2739,57,57,0.8732142184025029,320.1578947368421,2842,0.9818971691356628,3.394484758377075,0.984045761242414,200,wisconsin
