method,dataset,depth,param_type,param_value,num_subgroups,num_candidates,pruned_subgroups,auc,max_quality,time_seconds,total_points,original_hull_points,removed_points,new_hull_points,original_auc,new_auc,auc_reduction,original_area,new_area,area_reduction,original_max_quality,new_max_quality,selected_points,avg_distance_to_hull,min_diagonal_distance,max_diagonal_distance,threshold_used
below_hull_percentage,mushroom,4,distance_percentage,10.0,,,,,,0.06442928314208984,10161.0,,,5.0,0.9952927834330834,0.9927042027054842,0.0025885807275991546,0.49529278343308336,0.4927042027054842,0.0025885807275991546,0.9169207346675625,0.9158992842079099,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,1,distance_percentage,0.5,,,,,,0.0009801387786865234,220.0,,,0.0,0.0,0.0,0.0,0.4769493974219057,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,1,distance_percentage,1.0,,,,,,0.0006644725799560547,220.0,,,0.0,0.0,0.0,0.0,0.4769493974219057,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,1,distance_percentage,2.0,,,,,,0.0009310245513916016,220.0,,,0.0,0.0,0.0,0.0,0.4769493974219057,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,1,distance_percentage,5.0,,,,,,0.0008561611175537109,220.0,,,0.0,0.0,0.0,0.0,0.4769493974219057,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,1,distance_percentage,10.0,,,,,,0.0005788803100585938,220.0,,,0.0,0.0,0.0,0.0,0.4769493974219057,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,2,distance_percentage,0.5,,,,,,0.00818777084350586,4210.0,,,2.0,0.9948733284914769,0.9774426453624985,0.01743068312897844,0.49487332849147686,0.4774426453624984,0.01743068312897844,0.9138563832886044,0.9138563832886044,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,2,distance_percentage,1.0,,,,,,0.009885549545288086,4210.0,,,3.0,0.9948733284914769,0.9877775490626347,0.007095779428842208,0.49487332849147686,0.48777754906263465,0.007095779428842208,0.9138563832886044,0.9138563832886044,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,2,distance_percentage,2.0,,,,,,0.011877298355102539,4210.0,,,3.0,0.9948733284914769,0.9877775490626347,0.007095779428842208,0.49487332849147686,0.4877775490626346,0.007095779428842264,0.9138563832886044,0.9138563832886044,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,2,distance_percentage,5.0,,,,,,0.011490821838378906,4210.0,,,3.0,0.9948733284914769,0.9877775490626347,0.007095779428842208,0.49487332849147686,0.4877775490626346,0.007095779428842264,0.9138563832886044,0.9138563832886044,0.0,,,0.0,0.0
